Temperature,irradiation,Tc,eff,PowerS,wind speed,V(t),PowerW,PowerNuc,Flow_m3ps,PowerH,P_el
12.83,0,12.8,0.172552796,0,1.36452,1.16,86.27016455,10000000,4.88,813837.6,69180000
14.62,66.7333,16.7,0.169936958,56.70226987,1.36452,1.16,86.27016455,10000000,4.88,813837.6,66924000
17.29,182.433,23,0.165703713,151.1491278,1.34194,1.14,81.38040955,10000000,4.88,813837.6,65856000
19.63,305.067,29.2,0.161546817,246.413014,1.33226,1.13,79.33389478,10000000,4.88,813837.6,63240000
21.31,388.833,33.5,0.158648661,308.439174,1.58065,1.34,141.7920942,10000000,4.88,813837.6,68016000
22.12,414.667,35.1,0.157561083,326.6769078,1.6871,1.43,175.4081509,10000000,4.88,813837.6,64360000
22.37,428.3,35.8,0.157103326,336.436772,1.59355,1.35,145.6345646,10000000,4.88,813837.6,58384000
22.24,353.5,33.3,0.15876379,280.6149987,1.7,1.44,179.7833489,10000000,4.88,813837.6,64288000
21.7,262.267,29.9,0.161051009,211.1918251,1.79355,1.52,213.545598,10000000,4.88,813837.6,62228000
20.36,125.733,24.3,0.164831215,103.6236158,1.77097,1.5,205.0639213,10000000,4.88,813837.6,69360000
18.35,33.5,19.4,0.168123358,28.16066248,1.52903,1.3,127.0336985,10000000,4.88,813837.6,67420000
16.9,0,16.9,0.169810287,0,1.12581,0.96,42.37038296,10000000,4.88,813837.6,66448000
16.19,0,16.2,0.170286486,0,1.00645,0.86,26.3104998,10000000,4.88,813837.6,64616000
15.59,0,15.6,0.170693011,0,1.02903,0.87,29.07632857,10000000,4.88,813837.6,68704000
15.03,0,15,0.171070359,0,1.00968,0.86,26.69864106,10000000,4.88,813837.6,61900000
14.53,0,14.5,0.171402829,0,1.04839,0.89,31.54643919,10000000,4.88,813837.6,63380000
14.04,0,14,0.171733008,0,1.10968,0.94,39.98731062,10000000,4.88,813837.6,66388000
13.6,0,13.6,0.172033943,0,1.14194,0.97,44.82272985,10000000,4.88,813837.6,61868000
